Domain,Base Domain,requests,httpsRequests,timeToFirstByte,timeToLastByte,httpTrafficCompleted,domContentLoaded,domComplete,timeBackend,timeFrontend
12circolobari.gov.it,gov.it,21,0,471,573,2531,1529,1976,19,81
10icpadova.gov.it,gov.it,40,0,1688,1739,2469,323,743,69,31
17circolo.gov.it,gov.it,53,0,727,777,1577,351,811,47,53
15icpaolorsi.gov.it,gov.it,70,2,1561,1619,2561,339,957,62,38
17circolodidattico.gov.it,gov.it,75,2,120,201,1806,759,1556,7,93
17circolodidatticopoggiofrancobari.gov.it,gov.it,42,0,239,254,638,149,393,38,62
1cdbacoli.gov.it,gov.it,22,0,464,1177,2291,1191,1255,27,73
1cdsomma.gov.it,gov.it,71,10,406,524,1596,559,1081,27,73
1cdvalenzano.gov.it,gov.it,39,2,128,209,1023,317,822,13,87
1cdsommaves.gov.it,gov.it,22,0,467,1095,2191,1107,1110,30,70
1circolociampino.gov.it,gov.it,82,5,105,156,1186,152,1054,9,91
1circolocarminenicosia.gov.it,gov.it,66,0,1884,1959,2740,389,787,71,29
1circolodidatticoischia.gov.it,gov.it,69,3,307,400,1717,423,1337,19,81
1circologuerrazzi.gov.it,gov.it,59,2,697,837,1958,1336,1147,38,62
1circolomarconi.gov.it,gov.it,78,10,206,282,1937,382,1506,12,88
1circolomariorapisardi.gov.it,gov.it,54,10,210,255,2023,900,1774,11,89
1circolomondovi.gov.it,gov.it,22,0,489,1122,2401,1140,1150,30,70
1circoloscafati.gov.it,gov.it,45,4,595,669,2811,1241,1691,26,74
1circolovillabate.gov.it,gov.it,82,11,7117,7121,10256,0,0,100,0
1icpriologargallo.gov.it,gov.it,51,0,4861,5097,5687,5491,595,89,11
1icudine.gov.it,gov.it,81,1,456,585,1519,1190,945,33,67
21mamelizuppetta.gov.it,gov.it,82,0,1090,1209,4062,1324,2431,31,69
22ddalbertomario.gov.it,gov.it,49,49,794,1042,4300,1711,3269,20,80
24circolodidattico.gov.it,gov.it,78,2,586,655,2641,947,1897,24,76
25lugliobettolo.gov.it,gov.it,52,0,1200,1276,2155,377,842,59,41
26circolodidatticobari.gov.it,gov.it,37,0,101,138,453,147,245,29,71
26-cd-imbriani.gov.it,gov.it,21,0,471,1088,2114,1100,1098,30,70
2cdrodaricasamassima.gov.it,gov.it,55,5,170,242,1244,280,1018,14,86
2circolociampino.gov.it,gov.it,56,1,1840,2212,2655,2375,538,77,23
2circolodidatticocastelvetrano.gov.it,gov.it,82,23,134,240,1952,630,977,12,88
2circolofasano.gov.it,gov.it,47,0,1905,2048,6204,654,4193,31,69
2circolomercatosanseverino.gov.it,gov.it,66,3,1589,1712,3388,799,1688,48,52
2circoloforgione.gov.it,gov.it,67,3,431,1007,3829,667,2840,13,87
2circolomoromodugno.gov.it,gov.it,52,0,1123,1172,1754,296,602,65,35
2circolopatern.gov.it,gov.it,91,11,1688,1752,3353,572,1189,59,41
2circolopiombino.it.gov.it,gov.it,45,36,159,159,1521,0,0,100,0
2circolosangiorgio.gov.it,gov.it,22,0,462,559,2172,1124,1619,22,78
2circolospoleto.gov.it,gov.it,87,2,2880,2961,5640,1457,2693,52,48
2comprensivogiulianova.gov.it,gov.it,92,1,439,549,5997,1082,5457,7,93
2comprensivorossano.gov.it,gov.it,85,4,1389,1445,2409,410,810,63,37
2icceglie.gov.it,gov.it,71,71,1317,1364,2692,686,1268,51,49
2icudine.gov.it,gov.it,85,1,248,390,1646,1014,1163,18,82
2ledeamicis.gov.it,gov.it,75,1,446,527,1239,930,589,43,57
2superioreaugusta.gov.it,gov.it,76,1,1325,1402,2209,1791,814,62,38
31icborsellino.gov.it,gov.it,81,2,195,251,1858,634,1540,11,89
33circolonapoli.gov.it,gov.it,87,0,186,260,2026,670,1332,12,88
3circolodidatticocaivano.gov.it,gov.it,21,0,463,1057,2139,1075,1164,28,72
3circolodidatticoaversa.gov.it,gov.it,66,4,1152,1213,4699,481,1405,45,55
3circologiugliano.gov.it,gov.it,87,26,388,462,2141,560,1515,20,80
3circolovt.gov.it,gov.it,22,0,474,1121,2214,1135,1150,29,71
3iccapuana.gov.it,gov.it,63,9,168,196,1455,229,1300,11,89
3icrodari.gov.it,gov.it,44,2,588,668,1154,988,510,54,46
3icgiarre.gov.it,gov.it,51,0,964,1017,3553,198,2544,27,73
3icsr.gov.it,gov.it,69,10,729,834,2776,532,1951,27,73
3icudine.gov.it,gov.it,78,2,203,374,1648,1135,1297,14,86
41console.gov.it,gov.it,70,0,205,292,1606,443,1271,14,86
4circolocasoria.gov.it,gov.it,21,0,460,561,2362,1106,1809,20,80
4circolo.gov.it,gov.it,69,3,4662,4776,5715,5444,983,83,17
4circololecce.gov.it,gov.it,50,2,2383,2466,3141,344,685,78,22
4circolopestalozzi.gov.it,gov.it,22,0,465,575,2140,1085,1573,23,77
4circolosangiorgio.gov.it,gov.it,22,0,463,1083,2129,1095,1125,29,71
4circolotrani.gov.it,gov.it,72,0,1482,1601,3271,887,1676,47,53
4comprensivomarconi.gov.it,gov.it,85,3,1848,1932,3374,739,1433,56,44
4icdamicorosolini.gov.it,gov.it,16,0,1169,1208,1729,402,566,67,33
4daurianosengo.gov.it,gov.it,68,20,1990,2093,3601,2353,1525,57,43
4icudine.gov.it,gov.it,83,1,432,549,1417,914,877,33,67
4icpadova.gov.it,gov.it,55,55,2055,2123,3516,387,1407,59,41
4icvergasr.gov.it,gov.it,51,21,221,260,1203,334,954,19,81
4istitutocosta.gov.it,gov.it,46,3,702,764,1530,389,782,47,53
4novembre.gov.it,gov.it,40,0,141,153,302,93,156,47,53
55piscicelli.gov.it,gov.it,53,0,563,603,1818,356,1139,33,67
5circololatina.gov.it,gov.it,70,2,396,468,2503,1114,2045,16,84
5icudine.gov.it,gov.it,101,1,492,718,2185,1601,1481,25,75
69circolodidatticonapoli.gov.it,gov.it,63,0,261,321,1123,427,791,25,75
5tempesta.gov.it,gov.it,117,20,3821,3927,6970,486,2956,56,44
6istitutocomprensivopadova.gov.it,gov.it,82,1,153,325,2091,1301,1782,8,92
70circolodidattico.gov.it,gov.it,1,0,146,147,141,0,0,100,0
6icudine.gov.it,gov.it,85,1,167,310,1128,697,717,19,81
